,year,ft_lgbt,religion,party_id,religion_cat,party_id_cat
45893,2002,50.0,1.0,5.0,Religious,Democrat
45895,2002,95.0,1.0,2.0,Religious,Independent
45896,2002,50.0,0.0,5.0,Not Religious,Democrat
45897,2002,50.0,1.0,2.0,Religious,Independent
45899,2002,50.0,0.0,5.0,Not Religious,Democrat
45900,2002,50.0,0.0,2.0,Not Religious,Independent
45901,2002,20.0,1.0,1.0,Religious,Republican
45902,2002,50.0,1.0,5.0,Religious,Democrat
45903,2002,50.0,0.0,1.0,Not Religious,Republican
45904,2002,50.0,1.0,5.0,Religious,Democrat
45906,2002,40.0,1.0,5.0,Religious,Democrat
45907,2002,20.0,1.0,5.0,Religious,Democrat
45908,2002,50.0,1.0,1.0,Religious,Republican
45909,2002,50.0,1.0,2.0,Religious,Independent
