,year,ft_lgbt,religion,party_id,religion_cat,party_id_cat
45401,2002,50.0,1.0,2.0,Religious,Independent
45402,2002,50.0,1.0,2.0,Religious,Independent
45403,2002,50.0,1.0,5.0,Religious,Democrat
45404,2002,50.0,1.0,5.0,Religious,Democrat
45405,2002,50.0,1.0,5.0,Religious,Democrat
45406,2002,50.0,1.0,5.0,Religious,Democrat
45408,2002,50.0,1.0,5.0,Religious,Democrat
45409,2002,0.0,1.0,2.0,Religious,Independent
45410,2002,50.0,1.0,5.0,Religious,Democrat
45411,2002,50.0,1.0,2.0,Religious,Independent
45412,2002,50.0,1.0,5.0,Religious,Democrat
45413,2002,85.0,1.0,2.0,Religious,Independent
45415,2002,50.0,1.0,1.0,Religious,Republican
45416,2002,90.0,1.0,5.0,Religious,Democrat
45417,2002,25.0,0.0,1.0,Not Religious,Republican
45418,2002,1.0,1.0,5.0,Religious,Democrat
45419,2002,30.0,1.0,1.0,Religious,Republican
45422,2002,0.0,1.0,5.0,Religious,Democrat
45423,2002,50.0,1.0,4.0,Religious,Other
45424,2002,50.0,1.0,2.0,Religious,Independent
45425,2002,60.0,1.0,1.0,Religious,Republican
45426,2002,40.0,0.0,5.0,Not Religious,Democrat
45427,2002,0.0,1.0,5.0,Religious,Democrat
45428,2002,98.5,0.0,4.0,Not Religious,Other
45429,2002,50.0,1.0,1.0,Religious,Republican
45430,2002,50.0,1.0,1.0,Religious,Republican
45431,2002,30.0,1.0,2.0,Religious,Independent
45432,2002,75.0,1.0,3.0,Religious,No preference
45433,2002,5.0,1.0,1.0,Religious,Republican
45434,2002,50.0,1.0,2.0,Religious,Independent
45435,2002,60.0,1.0,5.0,Religious,Democrat
45436,2002,20.0,1.0,2.0,Religious,Independent
45437,2002,50.0,1.0,5.0,Religious,Democrat
45438,2002,50.0,1.0,2.0,Religious,Independent
45439,2002,40.0,1.0,1.0,Religious,Republican
45440,2002,0.0,1.0,5.0,Religious,Democrat
45441,2002,10.0,1.0,2.0,Religious,Independent
45442,2002,65.0,1.0,1.0,Religious,Republican
45444,2002,50.0,0.0,2.0,Not Religious,Independent
45445,2002,10.0,1.0,1.0,Religious,Republican
45446,2002,30.0,1.0,1.0,Religious,Republican
45447,2002,80.0,1.0,4.0,Religious,Other
45448,2002,98.5,1.0,1.0,Religious,Republican
45449,2002,50.0,1.0,1.0,Religious,Republican
45450,2002,0.0,1.0,3.0,Religious,No preference
45451,2002,50.0,1.0,2.0,Religious,Independent
45452,2002,80.0,0.0,1.0,Not Religious,Republican
45453,2002,60.0,1.0,2.0,Religious,Independent
45454,2002,50.0,1.0,5.0,Religious,Democrat
45455,2002,50.0,0.0,5.0,Not Religious,Democrat
45456,2002,55.0,0.0,1.0,Not Religious,Republican
45457,2002,70.0,1.0,5.0,Religious,Democrat
45458,2002,40.0,1.0,1.0,Religious,Republican
45459,2002,60.0,0.0,5.0,Not Religious,Democrat
45460,2002,50.0,0.0,2.0,Not Religious,Independent
45461,2002,20.0,1.0,1.0,Religious,Republican
45463,2002,25.0,1.0,5.0,Religious,Democrat
45464,2002,80.0,0.0,2.0,Not Religious,Independent
45465,2002,5.0,1.0,3.0,Religious,No preference
45466,2002,48.0,0.0,5.0,Not Religious,Democrat
45468,2002,32.0,1.0,1.0,Religious,Republican
45469,2002,50.0,0.0,5.0,Not Religious,Democrat
45470,2002,85.0,1.0,5.0,Religious,Democrat
45471,2002,0.0,1.0,5.0,Religious,Democrat
45474,2002,50.0,1.0,1.0,Religious,Republican
45475,2002,60.0,1.0,2.0,Religious,Independent
45476,2002,50.0,1.0,1.0,Religious,Republican
45477,2002,50.0,1.0,5.0,Religious,Democrat
45479,2002,0.0,1.0,3.0,Religious,No preference
45480,2002,98.5,0.0,5.0,Not Religious,Democrat
45481,2002,0.0,1.0,1.0,Religious,Republican
45482,2002,5.0,1.0,1.0,Religious,Republican
45483,2002,50.0,1.0,5.0,Religious,Democrat
45484,2002,75.0,1.0,2.0,Religious,Independent
45485,2002,0.0,1.0,2.0,Religious,Independent
45486,2002,5.0,1.0,1.0,Religious,Republican
45487,2002,25.0,1.0,1.0,Religious,Republican
45488,2002,50.0,0.0,5.0,Not Religious,Democrat
45489,2002,40.0,1.0,1.0,Religious,Republican
45491,2002,0.0,1.0,1.0,Religious,Republican
45493,2002,40.0,1.0,1.0,Religious,Republican
45494,2002,25.0,1.0,5.0,Religious,Democrat
45495,2002,50.0,1.0,2.0,Religious,Independent
45496,2002,55.0,0.0,2.0,Not Religious,Independent
45498,2002,30.0,1.0,5.0,Religious,Democrat
45499,2002,50.0,1.0,1.0,Religious,Republican
45500,2002,50.0,1.0,2.0,Religious,Independent
45501,2002,20.0,1.0,2.0,Religious,Independent
45502,2002,50.0,1.0,1.0,Religious,Republican
45503,2002,75.0,1.0,5.0,Religious,Democrat
45504,2002,10.0,1.0,1.0,Religious,Republican
45506,2002,80.0,1.0,5.0,Religious,Democrat
45507,2002,98.5,0.0,5.0,Not Religious,Democrat
45508,2002,50.0,1.0,2.0,Religious,Independent
45509,2002,50.0,1.0,4.0,Religious,Other
45510,2002,50.0,1.0,5.0,Religious,Democrat
45511,2002,30.0,1.0,1.0,Religious,Republican
45513,2002,50.0,1.0,4.0,Religious,Other
45514,2002,30.0,1.0,2.0,Religious,Independent
45516,2002,50.0,1.0,3.0,Religious,No preference
45517,2002,0.0,1.0,4.0,Religious,Other
45518,2002,50.0,1.0,2.0,Religious,Independent
45519,2002,50.0,1.0,5.0,Religious,Democrat
45520,2002,0.0,1.0,5.0,Religious,Democrat
45521,2002,80.0,1.0,1.0,Religious,Republican
45522,2002,50.0,0.0,2.0,Not Religious,Independent
45523,2002,50.0,1.0,1.0,Religious,Republican
45525,2002,0.0,1.0,5.0,Religious,Democrat
45526,2002,75.0,1.0,5.0,Religious,Democrat
45527,2002,0.0,1.0,2.0,Religious,Independent
45528,2002,20.0,1.0,1.0,Religious,Republican
45529,2002,40.0,1.0,2.0,Religious,Independent
45531,2002,50.0,1.0,3.0,Religious,No preference
45532,2002,30.0,1.0,1.0,Religious,Republican
45533,2002,60.0,0.0,5.0,Not Religious,Democrat
45534,2002,60.0,1.0,5.0,Religious,Democrat
45535,2002,20.0,1.0,5.0,Religious,Democrat
45537,2002,95.0,1.0,2.0,Religious,Independent
45538,2002,50.0,1.0,2.0,Religious,Independent
45539,2002,60.0,0.0,2.0,Not Religious,Independent
45540,2002,80.0,1.0,1.0,Religious,Republican
45541,2002,0.0,1.0,1.0,Religious,Republican
45542,2002,50.0,1.0,1.0,Religious,Republican
45543,2002,50.0,0.0,3.0,Not Religious,No preference
45544,2002,50.0,1.0,5.0,Religious,Democrat
45545,2002,50.0,1.0,1.0,Religious,Republican
45546,2002,30.0,1.0,5.0,Religious,Democrat
45547,2002,50.0,1.0,1.0,Religious,Republican
45548,2002,0.0,1.0,5.0,Religious,Democrat
45549,2002,20.0,1.0,1.0,Religious,Republican
45550,2002,60.0,1.0,2.0,Religious,Independent
45551,2002,98.5,1.0,2.0,Religious,Independent
45552,2002,90.0,1.0,5.0,Religious,Democrat
45553,2002,80.0,0.0,2.0,Not Religious,Independent
45554,2002,50.0,1.0,1.0,Religious,Republican
45555,2002,0.0,1.0,5.0,Religious,Democrat
45556,2002,75.0,0.0,5.0,Not Religious,Democrat
45557,2002,50.0,1.0,3.0,Religious,No preference
45560,2002,50.0,1.0,2.0,Religious,Independent
45561,2002,80.0,0.0,2.0,Not Religious,Independent
45563,2002,50.0,1.0,1.0,Religious,Republican
45565,2002,50.0,1.0,1.0,Religious,Republican
45566,2002,10.0,1.0,2.0,Religious,Independent
45567,2002,1.0,0.0,2.0,Not Religious,Independent
45568,2002,80.0,0.0,2.0,Not Religious,Independent
45569,2002,65.0,1.0,2.0,Religious,Independent
45570,2002,80.0,1.0,5.0,Religious,Democrat
45571,2002,0.0,1.0,1.0,Religious,Republican
45572,2002,90.0,1.0,2.0,Religious,Independent
45574,2002,10.0,1.0,1.0,Religious,Republican
45575,2002,70.0,1.0,5.0,Religious,Democrat
45576,2002,50.0,1.0,2.0,Religious,Independent
45577,2002,30.0,0.0,5.0,Not Religious,Democrat
